organization_name,city,province,region,country,website,organization_type,sector,certification_date,estimated_expiry_date,certifier,source,cis_preselection_notes
SO.GE.DI.CO S.R.L.,Chioggia,VE,Veneto,Italia,,azienda certificata PdR125,,2007-01-26,2010-01-26,DI.QU. S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2007-01-26; scadenza stimata 2010-01-26 assumendo validita triennale; ente certificatore: DI.QU. S.r.l.
NET Engineering S.r.l.,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-27,2025-12-27,TÜV NORD ITALIA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-27; scadenza stimata 2025-12-27 assumendo validita triennale; ente certificatore: TÜV NORD ITALIA S.r.l.
BANCA DI ASTI SPA,TREVISO,TV,Veneto,Italia,,azienda certificata PdR125,,2022-12-29,2025-12-29,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-29; scadenza stimata 2025-12-29 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
BANCA DI ASTI SPA,MESTRE,VE,Veneto,Italia,,azienda certificata PdR125,,2022-12-29,2025-12-29,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-29; scadenza stimata 2025-12-29 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
BANCA DI ASTI SPA,VICENZA,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-29,2025-12-29,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-29; scadenza stimata 2025-12-29 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
BANCA DI ASTI SPA,VERONA,VR,Veneto,Italia,,azienda certificata PdR125,,2022-12-29,2025-12-29,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-29; scadenza stimata 2025-12-29 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
BANCA DI ASTI SPA,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2022-12-29,2025-12-29,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-29; scadenza stimata 2025-12-29 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
Banca Popolare dell’Alto Adige Società Per Azioni,Marostica,VI,Veneto,Italia,,azienda certificata PdR125,,2022-12-31,2025-12-31,CERTIFICA S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2022-12-31; scadenza stimata 2025-12-31 assumendo validita triennale; ente certificatore: CERTIFICA S.r.l.
ACCENTURE SPA,PADOVA,PD,Veneto,Italia,,azienda certificata PdR125,,2023-01-30,2026-01-30,Bureau Veritas Italia S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2023-01-30; scadenza stimata 2026-01-30 assumendo validita triennale; ente certificatore: Bureau Veritas Italia S.p.A.
HUNTERS GROUP SRL,Padova,PD,Veneto,Italia,,azienda certificata PdR125,,2023-01-31,2026-01-31,UNITER S.r.l.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2023-01-31; scadenza stimata 2026-01-31 assumendo validita triennale; ente certificatore: UNITER S.r.l.
GRUPPO SIRTI,BORGO VALBELLUNA,BL,Veneto,Italia,,azienda certificata PdR125,,2023-02-03,2026-02-03,RINA Services S.p.A.,Accredia filtro Veneto UNI/PdR 125:2022,Certificata UNI/PdR 125:2022; certificazione emessa il 2023-02-03; scadenza stimata 2026-02-03 assumendo validita triennale; ente certificatore: RINA Services S.p.A.
